source,target,distance
Accounting,Actuarial Maths,0.89
Accounting,Applied Physics,1.56
Accounting,Business,0.56
Accounting,Computer Science,1.67
Accounting,Computing for Business,1.23
Accounting,Data Science,1.67
Accounting,"Economics, Politics & Law",0.89
Accounting,Journalism,1.4500000000000002
Accounting,Physical Education and Maths,1.78
Actuarial Maths,Accounting,0.89
Actuarial Maths,Applied Physics,0.67
Actuarial Maths,Business,0.89
Actuarial Maths,Chemistry,1.56
Actuarial Maths,Computer Science,1.4500000000000002
Actuarial Maths,Computing for Business,1.4500000000000002
Actuarial Maths,Data Science,0.78
Actuarial Maths,"Economics, Politics & Law",1.56
Actuarial Maths,Journalism,1.78
Actuarial Maths,Physical Education and Maths,0.89
Actuarial Maths,Primary Education,1.4500000000000002
Applied Physics,Accounting,1.56
Applied Physics,Actuarial Maths,0.67
Applied Physics,Biotechnology,1.33
Applied Physics,Business,1.56
Applied Physics,Chemistry,0.89
Applied Physics,Computer Science,1.4500000000000002
Applied Physics,Computing for Business,1.4500000000000002
Applied Physics,Data Science,0.78
Applied Physics,Genetics & Cell Biology,1.4500000000000002
Applied Physics,Nursing,1.78
Applied Physics,Physical Education and Maths,0.78
Applied Physics,Primary Education,1.34
Biotechnology,Applied Physics,1.33
Biotechnology,Chemistry,0.44
Biotechnology,Computer Science,1.78
Biotechnology,Electronic & Computer Engineering,0.89
Biotechnology,Genetics & Cell Biology,0.44
Biotechnology,Mechanical Engineering,0.89
Biotechnology,Nursing,0.78
Biotechnology,Psychology,1.67
Biotechnology,Social Science,1.56
Business,Accounting,0.56
Business,Actuarial Maths,0.89
Business,Applied Physics,1.56
Business,Computer Science,1.11
Business,Computing for Business,0.67
Business,Data Science,1.34
Business,"Economics, Politics & Law",0.67
Business,Journalism,0.89
Business,Physical Education and Maths,1.78
Business,Social Science,1.67
Chemistry,Actuarial Maths,1.56
Chemistry,Applied Physics,0.89
Chemistry,Biotechnology,0.44
Chemistry,Data Science,1.67
Chemistry,Electronic & Computer Engineering,1.33
Chemistry,Genetics & Cell Biology,0.56
Chemistry,Mechanical Engineering,1.33
Chemistry,Nursing,0.89
Chemistry,Physical Education and Maths,1.67
Chemistry,Psychology,1.78
Chemistry,Social Science,1.67
Computer Science,Accounting,1.6700000000000002
Computer Science,Actuarial Maths,1.4500000000000002
Computer Science,Applied Physics,1.4500000000000002
Computer Science,Biotechnology,1.78
Computer Science,Business,1.11
Computer Science,Computing for Business,0.44
Computer Science,Data Science,0.67
Computer Science,"Economics, Politics & Law",1.7800000000000002
Computer Science,Electronic & Computer Engineering,0.89
Computer Science,Mechanical Engineering,1.11
Computing for Business,Accounting,1.23
Computing for Business,Actuarial Maths,1.4500000000000002
Computing for Business,Applied Physics,1.4500000000000002
Computing for Business,Business,0.67
Computing for Business,Computer Science,0.44
Computing for Business,Data Science,0.67
Computing for Business,"Economics, Politics & Law",1.34
Computing for Business,Electronic & Computer Engineering,1.33
Computing for Business,Journalism,1.56
Computing for Business,Mechanical Engineering,1.55
Data Science,Accounting,1.67
Data Science,Actuarial Maths,0.78
Data Science,Applied Physics,0.78
Data Science,Business,1.34
Data Science,Chemistry,1.67
Data Science,Computer Science,0.67
Data Science,Computing for Business,0.67
Data Science,Electronic & Computer Engineering,1.56
Data Science,Mechanical Engineering,1.78
Data Science,Physical Education and Maths,1.56
"Economics, Politics & Law",Accounting,0.89
"Economics, Politics & Law",Actuarial Maths,1.56
"Economics, Politics & Law",Business,0.67
"Economics, Politics & Law",Computer Science,1.78
"Economics, Politics & Law",Computing for Business,1.34
"Economics, Politics & Law",Journalism,1.56
Electronic & Computer Engineering,Biotechnology,0.89
Electronic & Computer Engineering,Chemistry,1.33
Electronic & Computer Engineering,Computer Science,0.89
Electronic & Computer Engineering,Computing for Business,1.33
Electronic & Computer Engineering,Data Science,1.56
Electronic & Computer Engineering,Genetics & Cell Biology,1.33
Electronic & Computer Engineering,Mechanical Engineering,0.22
Electronic & Computer Engineering,Nursing,1.67
Genetics & Cell Biology,Applied Physics,1.4500000000000002
Genetics & Cell Biology,Biotechnology,0.44
Genetics & Cell Biology,Chemistry,0.56
